Unnamed: 0,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep,Day Label,Active exercise,Sleep Bucket,Awake Bucket,% Awake,% Restorative sleep,Restorative sleep mins,Total Sleep Minutes,Total Activity Minutes,Total Sleep Hours,Total Activity Hours
20,2018-07-14,6,False,True,1680,1680,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Sat,False,,,,,,0.0,0,0.0,0.0
21,2018-07-15,7,False,True,1680,1680,0,0.0,0.0,,0,1440,0,0,0,0,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Sun,False,,,,,,0.0,0,0.0,0.0
22,2018-07-16,1,True,False,2243,1680,4247,2.71,15.24,,5,1440,0,0,0,0,-1,,,,,,,,,98.0,348.0,0.0,2018-07-17T00:00:00.000,2018-07-17T06:28:30.000,388.0,51.0,2.0,226.0,31.0,71.0,5.0,40.0,31.0,14.0,59.0,19.0,Mon,False,,6.5,8.0,33.0,122.0,348.0,0,5.8,0.0
23,2018-07-17,2,True,False,3133,1680,10533,6.75,27.43,56.0,9,760,191,25,76,1649,-1,13.0,138.8968,131.0,900.37808,0.0,0.0,1932.76648,1181.0,91.0,382.0,0.0,2018-07-17T21:34:30.000,2018-07-18T05:28:30.000,474.0,48.0,3.0,268.0,30.0,66.0,7.0,92.0,29.0,11.0,57.0,14.0,Tue,True,22.0,5.5,18.0,25.0,114.0,382.0,292,6.366666666666666,4.866666666666666
24,2018-07-18,3,True,False,3071,1680,9186,5.77,24.38,57.0,8,661,239,14,52,1571,-1,10.0,105.73926,147.0,867.27201,0.0,0.0,2006.94516,1219.0,98.0,340.0,0.0,2018-07-19T00:11:30.000,2018-07-19T06:43:30.000,392.0,81.0,4.0,181.0,19.0,78.0,6.0,52.0,22.0,21.0,47.0,20.0,Wed,True,0.5,7.0,12.0,41.0,159.0,340.0,305,5.666666666666667,5.083333333333333
25,2018-07-19,4,True,False,3199,1680,9236,5.95,27.43,57.0,9,732,212,41,63,1726,-1,13.0,132.71064,184.0,1094.8336,0.0,0.0,1879.89232,1181.0,96.0,378.0,0.0,2018-07-20T00:11:30.000,2018-07-20T07:28:00.000,436.0,113.0,5.0,188.0,27.0,77.0,9.0,58.0,29.0,26.0,44.0,18.0,Thu,True,0.5,7.5,12.0,44.0,190.0,378.0,316,6.3,5.266666666666667
26,2018-07-20,5,True,False,2530,1680,6584,5.35,39.62,57.0,13,808,168,12,16,951,-1,4.0,49.25162,45.0,251.97689,6.0,86.59882,1931.08366,1211.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Fri,False,,,,,,0.0,196,0.0,3.2666666666666666
27,2018-07-21,6,False,True,3438,1680,13842,9.13,33.53,57.0,11,1063,240,33,104,2110,-1,4.0,42.0192,176.0,1161.01384,0.0,0.0,1305.27976,616.0,95.0,235.0,0.0,2018-07-22T00:02:30.000,2018-07-22T04:26:30.000,264.0,57.0,2.0,109.0,18.0,69.0,7.0,29.0,20.0,22.0,42.0,27.0,Sat,True,0.5,4.5,9.0,49.0,126.0,235.0,377,3.9166666666666665,6.283333333333333
28,2018-07-22,7,False,True,2626,1680,7555,4.55,18.29,56.0,6,757,280,5,14,1191,-1,0.0,0.0,23.0,152.43632,0.0,0.0,2452.8708,1399.0,98.0,411.0,0.0,2018-07-22T23:09:00.000,2018-07-23T06:49:30.000,460.0,81.0,6.0,259.0,30.0,71.0,6.0,49.0,31.0,18.0,57.0,16.0,Sun,False,23.5,7.0,9.0,34.0,152.0,411.0,299,6.85,4.983333333333333
29,2018-07-23,1,True,False,2828,1680,7691,4.98,15.24,57.0,5,726,169,41,44,1279,-1,0.0,0.0,116.0,713.97624,0.0,0.0,2001.63128,1278.0,97.0,348.0,0.0,2018-07-23T22:42:00.000,2018-07-24T05:22:30.000,400.0,60.0,3.0,179.0,27.0,109.0,11.0,52.0,31.0,15.0,45.0,28.0,Mon,True,23.0,5.5,12.0,43.0,169.0,348.0,254,5.8,4.233333333333333
30,2018-07-24,2,True,False,3405,1680,9731,6.12,15.24,58.0,5,698,216,38,88,1955,-1,25.0,263.41447,200.0,1164.88251,5.0,65.82444,1803.98647,1123.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Tue,True,,,,,,0.0,342,0.0,5.7
31,2018-07-25,3,True,False,3129,1680,11022,7.3,21.34,59.0,7,1135,190,43,72,1647,-1,6.0,61.8563,167.0,1031.24956,0.0,0.0,1512.21147,823.0,97.0,377.0,0.0,2018-07-25T22:21:00.000,2018-07-26T05:25:30.000,424.0,95.0,4.0,194.0,29.0,88.0,10.0,47.0,32.0,23.0,46.0,21.0,Wed,True,22.5,5.5,10.0,44.0,183.0,377.0,305,6.283333333333333,5.083333333333333
32,2018-07-26,4,True,False,2702,1680,7232,5.76,21.34,62.0,7,772,189,25,30,1155,-1,7.0,73.87743,81.0,488.54806,1.0,13.77178,2090.62623,1322.0,94.0,387.0,0.0,2018-07-26T23:46:30.000,2018-07-27T07:01:30.000,435.0,75.0,5.0,241.0,33.0,71.0,10.0,48.0,37.0,18.0,56.0,17.0,Thu,False,24.0,7.5,9.0,35.0,146.0,387.0,244,6.45,4.066666666666666
33,2018-07-27,5,True,False,2699,1680,8550,5.57,6.1,61.0,2,761,200,13,31,1149,-1,0.0,0.0,89.0,557.80488,0.0,0.0,1983.6564,1228.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Fri,False,,,,,,0.0,244,0.0,4.066666666666666
34,2018-07-28,6,False,True,3293,1680,14865,9.43,0.0,61.0,0,1059,260,60,61,1970,-1,6.0,62.4452,212.0,1261.85992,0.0,0.0,1319.5196,667.0,98.0,195.0,0.0,2018-07-29T05:01:30.000,2018-07-29T08:40:30.000,219.0,47.0,2.0,127.0,18.0,21.0,2.0,24.0,16.0,22.0,58.0,10.0,Sat,True,5.5,9.0,10.0,32.0,68.0,195.0,381,3.25,6.35
35,2018-07-29,7,False,True,2748,1680,7613,4.82,103.63,59.0,34,780,364,0,0,1395,-1,0.0,0.0,58.0,296.35208,0.0,0.0,2345.13824,1315.0,96.0,,0.0,2018-07-30T05:28:00.000,2018-07-30T07:44:00.000,136.0,0.0,,0.0,,0.0,,,,,,,Sun,False,5.5,8.0,,,,0.0,364,0.0,6.066666666666666
36,2018-07-30,1,True,False,3182,1680,11774,8.1,179.83,59.0,59,948,287,35,34,1735,-1,8.0,81.5733,176.0,884.9361,0.0,0.0,1920.4152,1026.0,96.0,418.0,0.0,2018-07-30T22:29:00.000,2018-07-31T06:23:30.000,474.0,66.0,4.0,266.0,41.0,86.0,7.0,56.0,38.0,14.0,57.0,19.0,Mon,False,22.5,6.5,10.0,33.0,152.0,418.0,356,6.966666666666667,5.933333333333334
37,2018-07-31,2,True,False,3187,1680,12941,8.21,27.43,61.0,9,645,169,68,84,1752,-1,3.0,30.3446,210.0,1284.16013,0.0,0.0,1832.81384,1207.0,94.0,362.0,0.0,2018-07-31T22:46:00.000,2018-08-01T05:32:00.000,406.0,65.0,3.0,214.0,38.0,83.0,7.0,44.0,39.0,17.0,53.0,21.0,Tue,True,23.0,6.0,9.0,38.0,148.0,362.0,321,6.033333333333333,5.35
38,2018-08-01,3,True,False,3205,1680,9795,6.39,9.14,61.0,3,894,47,40,53,965,-1,15.0,164.80864,79.0,538.77952,9.0,114.15216,542.28112,377.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Wed,True,,,,,,0.0,140,0.0,2.3333333333333335
39,2018-08-02,4,True,False,2600,1680,8270,5.38,39.62,,13,1440,0,0,0,0,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Thu,False,,,,,,0.0,0,0.0,0.0
40,2018-08-03,5,True,False,2952,1680,11278,6.16,36.58,,12,1440,0,0,0,0,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Fri,False,,,,,,0.0,0,0.0,0.0
41,2018-08-04,6,False,True,3131,1680,11771,7.47,64.01,,21,1296,45,24,75,950,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Sat,True,,,,,,0.0,144,0.0,2.4
42,2018-08-05,7,False,True,2888,1680,11385,7.45,39.62,,13,1084,320,18,18,1536,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Sun,False,,,,,,0.0,356,0.0,5.933333333333334
43,2018-08-06,1,True,False,2746,1680,6856,4.17,18.29,,6,1173,211,55,1,1175,-1,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,Mon,False,,,,,,0.0,267,0.0,4.45
44,2018-08-07,2,True,False,2497,1680,4366,2.78,0.0,61.0,0,1243,166,12,19,917,-1,0.0,0.0,123.0,611.44369,0.0,0.0,1393.63411,906.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Tue,False,,,,,,0.0,197,0.0,3.283333333333333
45,2018-08-08,3,True,False,2371,1680,4808,3.64,0.0,60.0,0,1237,190,10,3,842,-1,2.0,21.35976,47.0,246.51264,0.0,0.0,1508.95616,883.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Wed,False,,,,,,0.0,203,0.0,3.3833333333333333
46,2018-08-09,4,True,False,2803,1680,9082,6.01,18.29,59.0,6,1145,259,14,22,1364,-1,0.0,0.0,99.0,602.45702,0.0,0.0,2072.7696,1233.0,,,,,,,0.0,,0.0,,0.0,,,,,,,Thu,False,,,,,,0.0,295,0.0,4.916666666666667
